Index,Collisions,Hash
460,139,M273MU
461,23,W694TN
462,1,C064AL
463,95,R301SS
464,69,A800CG
465,56,K682FE
466,129,N394IR
467,167,K942KX
468,131,S208ZP
469,33,O875MP
470,73,S347SP
471,79,Q514TF
472,186,B876EV
473,124,W792OX
474,143,V703LI
475,85,G861VH
476,9,F448WL
477,0,EMPTY
478,14,T491NV
479,46,R360KK
480,30,L003FV
481,19,N417JF
482,80,G228BO
483,175,O142SW
484,124,B263OK
485,96,I602JK
486,44,G467LJ
487,7,G308LK
488,39,U816LB
489,134,Q165OP
490,29,G392TL
491,0,T996NJ
492,78,T602UL
493,75,F350CC
494,73,A771AC
495,127,D804PZ
496,148,L632ZM
497,140,S465LZ
498,30,D036CD
499,98,R981GZ
500,87,U746GI
501,198,R088KF
502,87,K808IK
503,145,I042WP
504,76,P607PH
505,16,Z625HK
506,2,G060GB
507,7,B770BB
508,39,G587BU
509,42,B794JL
510,24,P634LB
511,78,D768FF
512,146,S667IR
513,134,C390ET
514,113,M026BP
515,50,P384MC
516,3,Q922GE
517,35,C518JJ
518,140,Y684AQ
519,42,D305RN
520,9,G311OA
521,95,K979UE
522,51,K710AA
523,75,H022DE
524,156,A152XZ
525,186,N422PY
526,145,T028YR
527,14,C422BH
528,72,Z546VG
529,79,B447LZ
530,188,C790LU
531,133,L964FK
532,121,I313OX
533,59,Y617FI
534,34,X917WE
535,14,H408BA
536,12,A611EG
537,22,H030VR
538,46,D941VE
539,39,A547CX
540,104,K133OE
541,132,G179UV
542,145,S583DB
543,114,Y161AF
544,80,F554JR
545,10,E607CV
546,44,D244WA
547,129,M232RM
548,33,J032BC
549,17,I440CI
550,94,B805YW
551,50,C428CB
552,76,L581CL
553,134,X505KO
554,139,F918TT
555,146,V803WR
556,12,I105CD
557,39,X189TI
558,75,J298QJ
559,201,F866QJ
560,125,I010XO
561,122,I159XH
562,44,M790BX
563,21,P220LC
564,27,R306NW
565,16,T213WX
566,25,B297EB
567,31,C944HR
568,46,E645FS
569,124,C009SH
570,143,Y660MQ
571,126,B499ND
572,112,F538GL
573,56,O605DS
574,28,M853JE
575,58,B945FM
576,127,K745UD
577,27,J197IT
578,12,C009OC
579,81,X082HV
580,66,I323CC
581,58,A232AN
582,129,N183VM
583,152,C946QZ
584,150,Z016YQ
585,19,F533DB
586,65,U371TT
587,83,N370NS
588,212,Y607MC
589,150,J069LM
590,181,X915FL
591,44,N574SG
592,3,K995WD
593,8,C241CQ
594,19,L991VU
595,42,K551AE
596,26,D599KI
597,38,A419FY
598,135,A119WE
599,157,Q449TN
600,146,D268HO
601,104,R022AS
602,57,O805NH
603,23,C906PK
604,74,F918MC
605,103,C589ZB
606,16,Q587FD
607,5,A190FN
608,73,H906YQ
609,87,A800LC
610,81,B387BB
611,118,D477RV
612,125,P928EZ
613,144,X778UI
614,47,E721DE
615,68,X593MS
616,62,B196ZN
617,180,M493VD
618,136,O990GK
619,162,G994VG
620,69,X451IN
621,9,U517OM
622,4,O037CC
623,24,A713IC
624,51,C058GF
625,58,E835ZA
626,29,K797ID
627,154,F607DR
628,160,L829WO
629,160,G580NJ
630,133,N416QA
631,65,J304UM
632,4,D129SK
633,80,L219PA
634,119,Y004GR
635,35,P136AA
636,2,N569FC
637,46,N788QL
638,103,F103IF
639,114,L431AD
640,146,W579EN
641,94,Y369HP
642,130,S935WR
643,32,F141HE
644,60,Z483PQ
645,82,F966PP
646,172,V394QA
647,95,E564UK
648,187,M619JT
649,57,Q427IS
650,22,J828IA
651,4,H296ZV
652,12,K181CA
653,52,O363BA
654,53,R525QB
655,58,E673WD
656,133,A347HS
657,136,G702GR
658,196,T262KD
659,145,G827AS
660,76,W231CT
661,3,V277HP
662,73,K062JM
663,88,N358WB
664,54,A233DK
665,11,D355GI
666,47,Q917NS
667,80,A041QC
668,127,K007FB
669,123,G591QY
670,127,X128LU
671,129,J477EI
672,21,B718CE
673,47,Q185UW
674,87,Z562RC
675,228,N225XJ
676,121,W231UC
677,200,S538TE
678,56,K194ZH
679,31,A421VE
680,16,L014IB
681,24,D021HK
682,37,A045QD
683,54,Z076BI
684,56,I980MJ
685,167,H052CY
686,132,X531BG
687,175,F856DQ
688,168,T844BG
689,81,F729YD
690,21,B676YB
691,68,N611CR
692,82,A418SW
693,59,F902AG
694,16,G672KA
695,63,J595VL
696,74,A604FJ
697,106,A461AN
698,147,V152VM
699,136,H834XV
700,150,D326TH
701,21,B657BE
702,31,Q754QZ
703,66,V676EO
704,218,T420LT
705,136,W461JJ
706,187,K681KX
707,40,J772TN
708,26,E386BP
709,32,F121CP
710,30,D544HB
711,40,K615ED
712,51,J890KM
713,60,H696HM
714,169,N171CR
715,143,L581NC
716,154,U408JD
717,131,G008IV
718,80,F232VS
719,30,A363WM
720,85,I770CR
721,78,M753PM
722,48,K000NA
723,20,B372QD
724,53,X207KY
725,108,A417DK
726,121,F831BH
727,112,W432HZ
728,113,R187RR
729,144,B511IG
730,54,D244AM
731,37,Z945HY
732,51,H537NY
733,231,I801PY
734,126,I909BZ
735,183,T225IE
736,29,Q084HX
737,16,K281BQ
738,29,B563IJ
739,62,D673EC
